0.8000,1.2196,0.8589,0.9920
0.8000,1.2932,1.8243,0.3546
0.6000,1.1482,0.8209,0.9946
0.6000,0.7759,1.9588,0.6218
0.2000,0.9944,0.7303,0.5870
0.6000,0.8514,1.6964,0.6572
0.8000,0.9805,0.6330,0.4439
0.0000,0.8945,1.7144,0.7515
0.6000,1.2564,0.7725,0.2382
0.4000,1.1157,1.6938,0.8862
0.0000,0.3402,0.8751,0.9313
0.6000,0.9625,1.8425,0.8516
0.4000,1.1071,0.8045,0.3205
0.8000,1.5148,1.8683,0.7755
0.0000,0.6505,0.7427,0.6852
0.0000,1.0852,1.8906,0.2427
0.2000,0.6355,0.7517,0.2058
0.2000,0.7452,1.8211,0.8935
0.0000,0.8537,0.7526,0.7301
0.0000,1.1356,1.7309,0.3340
0.6000,1.1036,0.6345,0.2450
0.4000,1.1722,1.7357,0.3823
0.4000,0.8403,0.6702,0.2289
0.4000,1.5513,1.8077,0.6777
0.6000,1.2270,0.7412,0.7930
0.0000,0.7648,1.6690,0.1442
0.4000,0.7910,0.6780,0.3700
0.2000,1.1023,1.8289,0.6158
0.8000,1.3830,0.9247,0.2818
0.8000,1.1970,1.6784,0.5277
0.8000,0.5764,0.8934,0.0939
0.2000,1.0161,1.6330,0.9547
0.2000,0.8372,0.7486,0.5772
0.0000,0.7810,1.6091,0.4302
0.6000,0.5875,0.6562,0.1783
0.6000,1.1351,1.6975,0.1113
0.2000,0.9718,0.7126,0.2583
0.0000,1.1013,1.6912,0.7761
0.6000,1.0620,0.9353,0.3087
0.2000,1.1929,1.7429,0.5090
0.6000,1.1839,0.7617,0.1011
0.6000,1.2996,1.9175,0.2796
0.8000,1.2097,0.8798,0.3518
0.6000,0.5692,1.7755,0.8223
0.8000,1.4404,0.7497,0.6128
0.2000,0.6281,1.6554,0.4659
0.2000,1.2267,0.7707,0.0270
0.0000,1.3049,1.7483,0.3015
0.0000,0.9282,0.6498,0.6648
0.6000,0.9531,1.5964,0.9956
